City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
220,Lompoc,34.6391,-120.4579,91.78,64,57,16.11,US,broken clouds
221,Ponta Do Sol,32.6667,-17.1,73.71,74,1,6.93,PT,clear sky
222,Haines Junction,60.7522,-137.5108,66.15,42,25,5.75,CA,scattered clouds
223,Metsavan,41.2016,44.2288,63.84,81,88,2.19,AM,overcast clouds
224,Rio Grande,-32.035,-52.0986,80.71,79,2,6.44,BR,clear sky
225,Warmbad,-28.45,18.7333,45.39,24,0,12.57,NA,clear sky
226,Solnechnyy,50.7214,136.6319,75.69,83,57,1.7,RU,broken clouds
227,Belmonte,-15.8631,-38.8828,75.2,69,95,10.83,BR,overcast clouds
228,Turkan,40.3639,50.215,78.98,83,0,13.8,AZ,clear sky
229,Sainte-Claire,46.6006,-70.8649,75.42,51,34,1.01,CA,scattered clouds
230,Kaitangata,-46.2817,169.8464,40.93,77,39,4.36,NZ,scattered clouds
231,Newport,51.5877,-2.9984,72.82,73,100,15.35,GB,overcast clouds
232,Lebu,-37.6167,-73.65,51.76,79,100,18.41,CL,overcast clouds
233,Luganville,-15.5333,167.1667,77.85,85,99,6.24,VU,overcast clouds
234,Caconda,-13.7333,15.0667,53.82,20,5,3.85,AO,clear sky
235,Saint Anthony,45.0205,-93.218,94.24,45,1,1.99,US,clear sky
236,Paita,-5.0892,-81.1144,75.76,75,20,21.9,PE,few clouds
237,Byron Bay,-28.65,153.6167,57.87,90,15,7.31,AU,few clouds
238,Goundam,16.4145,-3.6708,95.4,35,15,12.62,ML,few clouds
239,Severo-Kurilsk,50.6789,156.125,55.22,93,94,7.29,RU,overcast clouds
240,Balta,47.9355,29.6198,62.71,72,7,2.21,UA,clear sky
241,Ambon,-3.6954,128.1814,77.94,87,100,8.81,ID,light rain
242,Alyangula,-13.8483,136.4192,69.67,100,90,4.61,AU,overcast clouds
243,Irupi,-20.3453,-41.6411,58.42,75,0,3.71,BR,clear sky
244,Petropavlovsk-Kamchatskiy,53.0452,158.6483,54.19,100,75,2.24,RU,broken clouds
245,Itoman,26.1247,127.6694,81.37,96,75,27.63,JP,light intensity shower rain
246,Tromso,69.6496,18.957,48.85,81,75,1.01,NO,broken clouds
247,Wilmington,34.2257,-77.9447,86.99,63,1,8.05,US,clear sky
248,Bressuire,46.9167,-0.5,70.05,79,6,11.03,FR,clear sky
249,Tepla,49.98,12.8643,64.49,73,48,4.07,CZ,scattered clouds
250,Strezhevoy,60.7333,77.5889,71.58,72,46,8.5,RU,scattered clouds
251,Tilichiki,60.4667,166.1,52.75,85,100,3.58,RU,overcast clouds
252,Arman,59.7,150.1667,54.95,93,99,1.59,RU,overcast clouds
253,Lagoa,39.05,-27.9833,70.27,95,100,15.12,PT,overcast clouds
254,Brae,60.3964,-1.353,53.51,91,46,6.73,GB,scattered clouds
255,North Bend,43.4065,-124.2243,82.94,63,1,23.02,US,clear sky
256,Manggar,-2.8833,108.2667,81.14,78,28,9.66,ID,scattered clouds
257,Palmer,42.1584,-72.3287,81.21,57,75,11.5,US,broken clouds
258,Cervo,43.6702,-7.4101,66.2,81,2,11.7,ES,clear sky
259,Wellington,-41.2866,174.7756,46.06,68,40,4.61,NZ,scattered clouds
260,Kedrovyy,56.1667,91.8167,54.01,76,47,8.77,RU,scattered clouds
261,Svetlyy,54.675,20.1347,62.65,90,8,5.37,RU,clear sky
262,Moose Factory,51.2585,-80.6094,82.4,39,1,10.36,CA,clear sky
263,Rawlins,41.7911,-107.2387,82.29,26,75,5.75,US,broken clouds
264,Miri,4.4148,114.0089,78.94,94,40,2.3,MY,scattered clouds
265,Uthal,25.8072,66.6219,83.71,79,100,4.79,PK,overcast clouds
266,Mezen,65.8522,44.24,39.74,90,24,5.91,RU,few clouds
267,Azare,11.6765,10.1948,76.55,74,87,5.93,NG,overcast clouds
268,Provideniya,64.3833,-173.3,53.04,64,41,7.36,RU,scattered clouds
269,Baie-Comeau,49.2168,-68.1489,73.08,64,40,13.8,CA,scattered clouds
270,Shimoda,34.6667,138.95,77.11,83,2,2.44,JP,clear sky
271,Kiama,-34.6833,150.8667,51.58,90,98,6.08,AU,overcast clouds
272,Jurm,36.8648,70.8342,69.53,33,7,0.96,AF,clear sky
273,Iqaluit,63.7506,-68.5145,51.53,87,90,8.01,CA,light rain
274,Bathsheba,13.2167,-59.5167,86.61,70,40,13.8,BB,scattered clouds
275,Codajas,-3.8367,-62.0569,84.74,64,94,2.91,BR,overcast clouds
276,San Luis,-33.295,-66.3356,64.78,30,100,11.63,AR,overcast clouds
