City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
452,Lockhart,US,93.4,clear sky,28.6194,-81.4426,Courtyard by Marriott Orlando Altamonte Springs/Maitland
453,Hearst,CA,82.65,overcast clouds,49.6835,-83.6665,Companion
454,Sao Felix Do Xingu,BR,86.2,clear sky,-6.6447,-51.995,Rio Xingu Camping
455,Sao Geraldo Do Araguaia,BR,87.64,few clouds,-6.4006,-48.555,SOLAR DO BARROSO
457,Boyuibe,BO,87.71,clear sky,-20.4167,-63.2833,Residencial Eluzai
458,Semporna,MY,79.0,overcast clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
459,Delijan,IR,89.53,clear sky,33.9905,50.6838,ایزوگام آسیاگستردلیجان
462,Rawah,IQ,92.43,clear sky,34.4816,41.9093,ديوان الشيخ نامق محسن الراوي
463,Kharan,PK,92.43,clear sky,28.5833,65.4167,Dil Aram Bangla
464,Timbiqui,CO,81.19,light rain,2.7717,-77.6654,hotel diana
465,Itaueira,BR,83.48,clear sky,-7.6033,-43.0256,Pousada e Restaurante Cheiro e Sabor
466,Sherghati,IN,80.22,broken clouds,24.5667,84.7833,Birju_sang_kunti_bhaban
468,Mao,ES,81.16,clear sky,39.8885,4.2658,ARTIEM Capri
470,Shu,KZ,76.23,clear sky,43.5983,73.7614,Shyngyzkhan
472,Uruzgan,AF,75.94,clear sky,32.8333,66.0,
475,Bosaso,SO,93.0,broken clouds,11.2842,49.1816,Red Sea Hotel
476,High Rock,BS,86.02,overcast clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
479,Luba,GQ,76.89,moderate rain,3.4568,8.5547,
481,Komsomolskiy,UZ,79.52,clear sky,40.4272,71.7189,Ikathouse
482,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
484,Tawau,MY,78.93,overcast clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
488,Havelock,US,87.06,clear sky,34.8791,-76.9013,Sherwood Motel
492,Tena,EC,84.96,overcast clouds,-0.9833,-77.8167,Hostal Tena Ñaui
493,Locri,IT,80.51,clear sky,38.2414,16.2623,Grand Hotel President
496,Bethel,US,82.04,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
497,Waddan,LY,80.82,clear sky,29.1614,16.139,محل الشريف محمد العايب
499,Mahibadhoo,MV,82.24,overcast clouds,3.7833,72.9667,Omadhoo Inn
500,Awjilah,LY,81.3,clear sky,29.1081,21.2869,
501,Petlawad,IN,75.54,scattered clouds,23.0,74.8,Gurjar Hotel
504,Jeremie,HT,84.9,scattered clouds,18.65,-74.1167,Auberge’Inn
506,Redmond,US,82.98,clear sky,47.674,-122.1215,Seattle Marriott Redmond
512,Kokopo,PG,76.84,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
515,Arteaga,MX,81.12,few clouds,18.4667,-102.4167,
516,Bodden Town,KY,88.99,scattered clouds,19.2833,-81.25,Will T Place
518,Tomatlan,MX,92.43,scattered clouds,19.9333,-105.25,El Salvial
519,Puertollano,ES,82.15,clear sky,38.6871,-4.1073,Hotel Puertollano
522,Annau,TM,90.9,clear sky,37.8876,58.516,Buzmein Sokak
525,Coahuayana,MX,91.76,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
526,Methoni,GR,79.21,scattered clouds,36.8197,21.7049,Methoni Beach Hotel
534,Shieli,KZ,82.27,clear sky,44.1667,66.75,Gostinitsa Aybek Shieli
538,Sainte-Maxime,FR,77.04,scattered clouds,43.3,6.6333,Hôtel Les Jardins De Sainte Maxime
541,Male,MV,82.24,heavy intensity rain,4.1748,73.5089,Hotel Octave Maldives
542,Panorama,GR,76.53,few clouds,40.5878,23.0315,Panorama Hotel
546,Indiana,US,86.95,clear sky,40.0003,-86.2503,WonderTree Farm
547,Vasudevanallur,IN,78.44,overcast clouds,9.2333,77.4167,PONISHA HARENI HOMES
548,Half Moon Bay,US,96.75,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
549,Korla,CN,84.34,scattered clouds,41.7597,86.1469,Gulisitan Hotel
556,Sabang,ID,83.35,overcast clouds,5.8933,95.3214,Hotel Citra
557,Abu Kamal,SY,92.43,clear sky,34.4506,40.9171,محطة التلفاز
558,Xihe,CN,75.94,overcast clouds,31.6864,113.4659,Xintiandi Business Hotel
561,Presidencia Roque Saenz Pena,AR,82.87,clear sky,-26.7852,-60.4388,Hotel Gualok
562,Dawei,MM,78.22,overcast clouds,14.0833,98.2,Hotel Dawei
567,Santa Cruz,BO,87.85,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
570,Portland,US,85.51,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
576,Sweetwater,US,93.02,broken clouds,25.7634,-80.3731,Li'l Abner Mobile Home Park
577,Arlit,NE,97.77,few clouds,18.7369,7.3853,Case de Passage De la Prefecture
578,Roma,US,78.94,broken clouds,43.2128,-75.4557,Wingate By Wyndham Rome
580,Ucluelet,CA,75.04,overcast clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
581,Collecchio,IT,81.59,clear sky,44.754,10.2184,Hotel Campus Collecchio
584,Mason City,US,90.36,clear sky,43.1536,-93.201,Days Inn by Wyndham Mason City
585,Naze,JP,77.81,light rain,28.3667,129.4833,奄美ポートタワーホテル
586,Cayenne,GF,84.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
587,Tartagal,AR,95.14,clear sky,-22.5164,-63.8013,Almuñecar Hotel
588,Clearwater,US,94.15,broken clouds,27.9659,-82.8001,Shephard's Beach Resort
589,Myra,IT,78.78,clear sky,45.4358,12.1348,Villa Gasparini
591,Sola,VU,79.59,broken clouds,-13.8833,167.55,Leumerus Bungalows
595,Road Town,VG,86.04,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
598,Praia Da Vitoria,PT,75.45,broken clouds,38.7333,-27.0667,Hotel Branco I
599,Kudahuvadhoo,MV,81.7,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
600,Meulaboh,ID,76.93,overcast clouds,4.1363,96.1285,Kost Pria
605,Marsa Matruh,EG,79.0,clear sky,31.3525,27.2453,Beau Site
606,Attur,IN,76.87,overcast clouds,11.6,78.6167,RR Plaza
608,Adrar,MR,96.17,few clouds,20.5022,-10.0711,
609,Himeji,JP,79.29,scattered clouds,34.8167,134.7,Hotel Nikko Himeji
610,Kaspiyskiy,RU,77.32,overcast clouds,45.3929,47.3707,"Gostinitsa ""Gostevoy Dvor"""
616,Tonosho,JP,79.21,overcast clouds,34.4833,134.1833,Hotel Green Plaza Shodoshima
617,Progreso,MX,92.1,broken clouds,21.2833,-89.6667,Playa Linda Hotel
620,Paso De Patria,AR,85.98,light rain,-27.2454,-58.5454,"Posada Pasito's III, Paso de Patria Ñeembucú"
